batter,h_exit_velo,h_barrel_pct,h_launch_angle,h_sweet_spot_pct,h_hard_hit_pct,h_pull_air_pct,h_hr_rate,h_n_batted,h_hr_contact_score,h_lifted_power_score,h_batter_right,h_zone_contact_pct,h_hr_vs_4seam,h_ev_vs_4seam,h_pa_vs_4seam,h_hr_vs_sinker,h_ev_vs_sinker,h_pa_vs_sinker,h_hr_vs_slider,h_ev_vs_slider,h_pa_vs_slider,h_hr_vs_change,h_ev_vs_change,h_pa_vs_change,h_hr_vs_curve,h_ev_vs_curve,h_pa_vs_curve,h_hr_vs_cutter,h_ev_vs_cutter,h_pa_vs_cutter,h_hr_vs_rhp,h_ev_vs_rhp,h_barrel_pct_vs_rhp,h_hard_hit_pct_vs_rhp,h_launch_angle_vs_rhp,h_sweet_spot_pct_vs_rhp,h_pull_air_pct_vs_rhp,h_n_batted_vs_rhp,h_xwoba_vs_rhp,h_hr_vs_lhp,h_ev_vs_lhp,h_barrel_pct_vs_lhp,h_hard_hit_pct_vs_lhp,h_launch_angle_vs_lhp,h_sweet_spot_pct_vs_lhp,h_pull_air_pct_vs_lhp,h_n_batted_vs_lhp,h_xwoba_vs_lhp,h_hr_contact_score_vs_rhp,h_lifted_power_score_vs_rhp,h_hr_contact_score_vs_lhp,h_lifted_power_score_vs_lhp,h_xwoba_vs_4seam,h_xwoba_vs_sinker,h_xwoba_vs_slider,h_xwoba_vs_change,h_xwoba_vs_curve,h_xwoba_vs_cutter
455117,79.87062937062937,0.06293706293706294,15.041958041958042,0.32167832167832167,0.22377622377622378,0.1958041958041958,0.027972027972027972,143,0.18636363636363634,0.23570804195804196,1.0,0.42560553633217996,0.037037037037037035,82.31111111111112,54.0,0.0,77.5945945945946,37.0,0.047619047619047616,73.2,21.0,0.0,87.33333333333333,6.0,0.0,84.65,4.0,0.1111111111111111,79.94444444444444,9.0,0.031914893617021274,77.21808510638297,0.06382978723404255,0.20212765957446807,15.393617021276595,0.2553191489361702,0.2127659574468085,94.0,0.3300692793394588,0.02040816326530612,84.95918367346938,0.061224489795918366,0.2653061224489796,14.36734693877551,0.4489795918367347,0.16326530612244897,49.0,0.4491922101668585,0.16914893617021276,0.2209441489361702,0.2193877551020408,0.264030612244898,0.4716443968527052,0.2692516005733397,0.35553333333333337,0.10966666666666668,0.2256086956521739,0.34147704081632646
456781,83.08588235294118,0.0196078431372549,17.96470588235294,0.3137254901960784,0.2196078431372549,0.09803921568627451,0.011764705882352941,255,0.1488235294117647,0.2174264705882353,1.0,0.5705705705705706,0.011627906976744186,85.50813953488372,86.0,0.0,85.11020408163265,49.0,0.0,75.728125,32.0,0.0,79.9448275862069,29.0,0.09090909090909091,90.71818181818182,11.0,0.0,85.30952380952381,21.0,0.018691588785046728,81.87009345794392,0.009345794392523364,0.21495327102803738,16.046728971962615,0.2897196261682243,0.1308411214953271,107.0,0.33121687479187484,0.006756756756756757,83.96486486486486,0.02702702702702703,0.22297297297297297,19.35135135135135,0.3310810810810811,0.07432432432432433,148.0,0.27866031144781145,0.14485981308411214,0.1985397196261682,0.15168918918918922,0.2141891891891892,0.27896150696150696,0.32522727272727275,0.23444444444444443,0.226375,0.41575555555555554,0.3377916666666667
457705,83.3368152866242,0.04203821656050955,17.65859872611465,0.2929936305732484,0.24585987261146497,0.14267515923566879,0.017834394904458598,785,0.16566878980891722,0.2260828025477707,1.0,0.5885810243492863,0.023728813559322035,85.54338983050847,295.0,0.006329113924050633,85.03734177215189,158.0,0.03225806451612903,81.60967741935484,93.0,0.01694915254237288,80.13559322033899,59.0,0.023809523809523808,81.38809523809525,42.0,0.0,77.56792452830189,53.0,0.018083182640144666,83.61048824593128,0.0433996383363472,0.25678119349005424,18.29113924050633,0.2820976491862568,0.1301989150090416,553.0,0.3762462133244761,0.017241379310344827,82.68448275862069,0.03879310344827586,0.21982758620689655,16.150862068965516,0.31896551724137934,0.1724137931034483,232.0,0.368143619808208,0.16311030741410487,0.22186934900542496,0.17176724137931038,0.2274515086206897,0.38496326419412435,0.40461358519596063,0.4240493256279935,0.35339877369007805,0.27796771130104464,0.36715
457759,82.3006779661017,0.01694915254237288,24.477966101694914,0.29491525423728815,0.1694915254237288,0.10508474576271186,0.010169491525423728,295,0.1345762711864407,0.17137711864406782,1.0,0.6115485564304461,0.015748031496062992,82.0771653543307,127.0,0.0,83.07959183673469,49.0,0.02631578947368421,85.4421052631579,38.0,0.0,79.12692307692308,26.0,0.0,78.18,20.0,0.0,82.78421052631579,19.0,0.0,81.3712,0.0,0.136,32.584,0.256,0.096,125.0,0.22593367346938775,0.01764705882352941,82.98411764705882,0.029411764705882353,0.19411764705882353,18.51764705882353,0.3235294117647059,0.11176470588235295,170.0,0.39793447169550095,0.1104,0.10004999999999997,0.15235294117647058,0.2238235294117647,0.3520213731574023,0.23795238095238094,0.41514770562770564,0.2504375,0.33325,0.3440649350649351
467793,82.82352941176471,0.024132730015082957,18.829562594268477,0.2730015082956259,0.2549019607843137,0.18099547511312217,0.016591251885369532,663,0.1638763197586727,0.21472473604826545,0.0,0.6002155172413793,0.014705882352941176,84.10257352941177,272.0,0.011494252873563218,87.55747126436782,87.0,0.018867924528301886,80.87735849056604,53.0,0.013157894736842105,81.06184210526315,76.0,0.0,75.64,35.0,0.02857142857142857,82.72714285714285,70.0,0.014799154334038054,82.89556025369978,0.021141649048625793,0.25158562367864695,18.62367864693446,0.2536997885835095,0.17124735729386892,473.0,0.28130833306316344,0.021052631578947368,82.64421052631579,0.031578947368421054,0.2631578947368421,19.342105263157894,0.32105263157894737,0.20526315789473684,190.0,0.34147076652048874,0.15539112050739956,0.2074127906976744,0.185,0.23292763157894736,0.28650545421034285,0.34907734637681925,0.3286570303030303,0.2954921763869132,0.25864705882352945,0.28703167108753314
493329,80.69285714285715,0.0,32.232142857142854,0.21428571428571427,0.16071428571428573,0.10714285714285714,0.0,56,0.10714285714285715,0.09140625000000001,1.0,0.532258064516129,0.0,76.12727272727273,22.0,0.0,82.84285714285714,7.0,0.0,91.4125,8.0,0.0,84.49166666666666,12.0,,,,0.0,94.6,1.0,0.0,79.07777777777777,0.0,0.1111111111111111,30.22222222222222,0.2777777777777778,0.0,18.0,0.1742857142857143,0.0,81.4578947368421,0.0,0.18421052631578946,33.18421052631579,0.18421052631578946,0.15789473684210525,38.0,0.17167222222222223,0.09166666666666667,0.10694444444444445,0.11447368421052631,0.08404605263157895,0.23750000000000002,0.1516,0.1940888888888889,0.09966666666666667,,0.116
500743,81.56518218623481,0.02631578947368421,15.973684210526315,0.2894736842105263,0.22874493927125505,0.15789473684210525,0.016194331983805668,494,0.15890688259109315,0.20970394736842105,1.0,0.5846394984326019,0.018072289156626505,84.27228915662651,166.0,0.01020408163265306,84.67551020408165,98.0,0.04411764705882353,79.66323529411765,68.0,0.0,78.32127659574468,47.0,0.058823529411764705,83.31764705882352,17.0,0.0,77.7560975609756,41.0,0.003787878787878788,80.04393939393938,0.011363636363636364,0.2159090909090909,11.871212121212121,0.2727272727272727,0.1590909090909091,264.0,0.30246121970669465,0.030434782608695653,83.31130434782608,0.043478260869565216,0.24347826086956523,20.682608695652174,0.30869565217391304,0.1565217391304348,230.0,0.3421233759867341,0.1471590909090909,0.1724905303030303,0.1723913043478261,0.21888586956521738,0.33559161853662334,0.31348767878033135,0.37329430540220015,0.34220399610136454,0.2516276276276276,0.24138461538461536
502054,84.93333333333332,0.037243947858473,9.581005586592179,0.2811918063314711,0.2942271880819367,0.10242085661080075,0.0186219739292365,537,0.16266294227188083,0.16386173184357541,1.0,0.5495103373231773,0.02564102564102564,87.41730769230769,156.0,0.007692307692307693,86.55153846153847,130.0,0.024096385542168676,83.21084337349397,83.0,0.0,84.58055555555556,36.0,0.0,81.152,25.0,0.047619047619047616,86.09285714285714,42.0,0.018666666666666668,85.36933333333333,0.04,0.30133333333333334,9.208,0.2693333333333333,0.104,375.0,0.34131724729355645,0.018518518518518517,83.92407407407408,0.030864197530864196,0.2777777777777778,10.444444444444445,0.30864197530864196,0.09876543209876543,162.0,0.38533837792800985,0.1624,0.15945,0.16327160493827161,0.17407407407407408,0.4374764006130829,0.3251969516209316,0.3348388103570986,0.3189296066252588,0.2434375,0.3795752678097816
502671,85.03931523022432,0.04604486422668241,22.71310507674144,0.345926800472255,0.2798110979929162,0.1334120425029516,0.015348288075560802,847,0.1852420306965762,0.21505312868949233,1.0,0.5804498269896193,0.023728813559322035,86.07593220338984,295.0,0.016853932584269662,84.63876404494383,178.0,0.010638297872340425,83.66595744680852,94.0,0.013513513513513514,83.60945945945946,74.0,0.034482758620689655,87.21379310344827,29.0,0.0,85.24177215189874,79.0,0.007017543859649123,83.79368421052632,0.03333333333333333,0.23508771929824562,23.156140350877195,0.3087719298245614,0.10877192982456141,570.0,0.3444587398322,0.032490974729241874,87.60252707581228,0.07220216606498195,0.37184115523465705,21.8014440433213,0.4223826714801444,0.18411552346570398,277.0,0.4820444824689404,0.15763157894736843,0.1917214912280702,0.24205776173285198,0.26306407942238264,0.41781301519462744,0.3678873547979798,0.4270939017075071,0.4474218533956465,0.4137997256515775,0.4073992810859898
506702,84.47647058823529,0.0,23.352941176470587,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.058823529411764705,17,0.11470588235294119,0.14595588235294119,0.0,0.625,0.0,82.775,8.0,0.0,84.28,5.0,,,,0.0,87.3,1.0,0.0,73.9,1.0,,,,0.08333333333333333,84.09166666666667,0.0,0.16666666666666666,30.916666666666668,0.25,0.16666666666666666,12.0,0.28269090909090905,0.0,85.4,0.0,0.2,5.2,0.0,0.2,5.0,0.16644444444444448,0.12916666666666665,0.11927083333333333,0.08000000000000002,0.049999999999999996,0.2211666666666667,0.19066666666666665,,0.082,,
