player_name,p_exit_velo_allowed,p_hard_hit_pct_allowed,p_barrel_pct_allowed,p_launch_angle_allowed,p_sweet_spot_pct_allowed,p_pull_air_pct_allowed,p_hr_rate_allowed,p_n_faced,p_hr_contact_risk,p_lift_damage_risk,p_arm_angle,p_in_zone_pct,p_spin_into_barrel_pct,p_spin_4seam,p_4seam_usage_rhh,p_4seam_usage_lhh,p_spin_sinker,p_sinker_usage_rhh,p_sinker_usage_lhh,p_spin_slider,p_slider_usage_rhh,p_slider_usage_lhh,p_spin_change,p_change_usage_rhh,p_change_usage_lhh,p_spin_curve,p_curve_usage_rhh,p_curve_usage_lhh,p_spin_cutter,p_cutter_usage_rhh,p_cutter_usage_lhh,p_ev_allowed_4seam,p_barrel_pct_allowed_4seam,p_launch_angle_allowed_4seam,p_sweet_spot_pct_allowed_4seam,p_ev_allowed_sinker,p_barrel_pct_allowed_sinker,p_launch_angle_allowed_sinker,p_sweet_spot_pct_allowed_sinker,p_ev_allowed_slider,p_barrel_pct_allowed_slider,p_launch_angle_allowed_slider,p_sweet_spot_pct_allowed_slider,p_ev_allowed_change,p_barrel_pct_allowed_change,p_launch_angle_allowed_change,p_sweet_spot_pct_allowed_change,p_ev_allowed_curve,p_barrel_pct_allowed_curve,p_launch_angle_allowed_curve,p_sweet_spot_pct_allowed_curve,p_ev_allowed_cutter,p_barrel_pct_allowed_cutter,p_launch_angle_allowed_cutter,p_sweet_spot_pct_allowed_cutter,p_hr_rate_allowed_rhh,p_exit_velo_allowed_rhh,p_barrel_pct_allowed_rhh,p_hard_hit_pct_allowed_rhh,p_launch_angle_allowed_rhh,p_sweet_spot_pct_allowed_rhh,p_pull_air_pct_allowed_rhh,p_n_faced_rhh,p_hr_contact_risk_rhh,p_lift_damage_risk_rhh,p_hr_rate_allowed_lhh,p_exit_velo_allowed_lhh,p_barrel_pct_allowed_lhh,p_hard_hit_pct_allowed_lhh,p_launch_angle_allowed_lhh,p_sweet_spot_pct_allowed_lhh,p_pull_air_pct_allowed_lhh,p_n_faced_lhh,p_hr_contact_risk_lhh,p_lift_damage_risk_lhh
"Abbott, Andrew",81.2789081885856,0.20512820512820512,0.03970223325062035,23.507030603804797,0.3010752688172043,0.13730355665839536,0.019851116625310174,1209,0.13672456575682382,0.2788047973531844,67.42582845733983,0.4608946608946609,0.3255411255411255,2286.648831488315,0.4611239414934565,0.497116493656286,,,,,,,1965.1756954612006,0.2567359507313318,0.01845444059976932,2789.01213592233,0.13895304080061585,0.058823529411764705,2524.965811965812,0.0434949961508853,0.00461361014994233,83.96076794657763,0.04006677796327212,28.30550918196995,0.32053422370617696,,,,,,,,,77.08553191489361,0.05106382978723404,13.812765957446809,0.28085106382978725,80.70857142857143,0.009523809523809525,16.4,0.2571428571428571,83.09387755102041,0.061224489795918366,14.53061224489796,0.1836734693877551,0.0223463687150838,81.72972067039107,0.042458100558659215,0.2100558659217877,22.899441340782122,0.3005586592178771,0.15083798882681565,895.0,0.14083798882681564,0.29015363128491617,0.012738853503184714,79.99394904458599,0.03184713375796178,0.1910828025477707,25.238853503184714,0.30254777070063693,0.09872611464968153,314.0,0.125,0.24645700636942675
"Abel, Mick",82.79256198347107,0.2534435261707989,0.03581267217630854,20.1900826446281,0.31955922865013775,0.1349862258953168,0.02203856749311295,363,0.14889807162534435,0.3253787878787879,72.60833552466949,0.46993524514338575,0.4199814986123959,2535.0263157894738,0.3580508474576271,0.47126436781609193,2459.8130841121497,0.1885593220338983,0.029556650246305417,2414.4656488549617,0.2288135593220339,0.03776683087027915,1695.357142857143,0.014830508474576272,0.19540229885057472,2670.715736040609,0.08686440677966102,0.2561576354679803,,,,81.8796178343949,0.06369426751592357,33.34394904458599,0.3630573248407643,86.75111111111111,0.0,11.666666666666666,0.3333333333333333,85.59411764705882,0.0196078431372549,16.725490196078432,0.3333333333333333,85.99512195121952,0.024390243902439025,12.902439024390244,0.2926829268292683,79.89423076923077,0.019230769230769232,-5.019230769230769,0.19230769230769232,,,,,0.006289308176100629,83.67798742138365,0.031446540880503145,0.2641509433962264,19.61006289308176,0.2893081761006289,0.1509433962264151,159.0,0.14371069182389937,0.32515723270440255,0.03431372549019608,82.10245098039216,0.0392156862745098,0.24509803921568626,20.642156862745097,0.3431372549019608,0.12254901960784313,204.0,0.15294117647058825,0.3255514705882353
"Abner, Philip",80.36451612903227,0.16129032258064516,0.03225806451612903,27.677419354838708,0.25806451612903225,0.16129032258064516,0.0,31,0.11774193548387096,0.21612903225806454,65.5115115518439,0.49523809523809526,0.4,2412.0,0.8333333333333334,0.6933333333333334,2404.0,,0.013333333333333334,2386.2,,0.2,1623.0,0.03333333333333333,,2253.2727272727275,0.13333333333333333,0.09333333333333334,,,,79.77619047619048,0.047619047619047616,40.904761904761905,0.23809523809523808,,,,,73.66,0.0,2.6,0.2,,,,,89.53999999999999,0.0,-2.8,0.4,,,,,0.0,76.74444444444445,0.1111111111111111,0.1111111111111111,44.111111111111114,0.4444444444444444,0.2222222222222222,9.0,0.17777777777777776,0.2333333333333333,0.0,81.84545454545454,0.0,0.18181818181818182,20.954545454545453,0.18181818181818182,0.13636363636363635,22.0,0.09318181818181819,0.26079545454545455
"Abreu, Bryan",83.0108991825613,0.2615803814713896,0.04904632152588556,19.26158038147139,0.29155313351498635,0.15258855585831063,0.021798365122615803,367,0.15149863760217983,0.3342302452316076,66.59589688683636,0.4123287671232877,0.4958904109589041,2281.498633879781,0.4937810945273632,0.510670731707317,2171.285714285714,0.017412935323383085,,2892.9504950495048,0.48880597014925375,0.47865853658536583,1728.8,,0.007621951219512195,,,,,,,83.75656565656566,0.04040404040404041,31.116161616161616,0.29292929292929293,91.83333333333333,0.0,4.0,0.0,81.96204819277109,0.060240963855421686,5.397590361445783,0.29518072289156627,,,,,,,,,,,,,0.00975609756097561,82.54048780487804,0.05365853658536585,0.23414634146341465,18.44390243902439,0.28780487804878047,0.12682926829268293,205.0,0.14097560975609755,0.3376219512195122,0.037037037037037035,83.60617283950617,0.043209876543209874,0.2962962962962963,20.296296296296298,0.2962962962962963,0.18518518518518517,162.0,0.16481481481481483,0.3299382716049382
"Acton, Garrett",90.38333333333334,0.3333333333333333,0.03333333333333333,35.166666666666664,0.26666666666666666,0.16666666666666666,0.0,30,0.18479166666666674,0.14166666666666664,69.81235209758412,0.42857142857142855,0.32142857142857145,2483.975,0.47297297297297297,0.6818181818181818,,,,2494.0384615384614,0.527027027027027,0.19696969696969696,2098.25,,0.06060606060606061,,,,,,,87.14736842105263,0.0,47.31578947368421,0.10526315789473684,,,,,96.05,0.1,9.3,0.6,95.2,0.0,63.0,0.0,,,,,,,,,0.0,89.95263157894736,0.05263157894736842,0.3157894736842105,33.8421052631579,0.3684210526315789,0.2631578947368421,19.0,0.21651315789473674,0.20723684210526314,0.0,91.12727272727273,0.0,0.36363636363636365,37.45454545454545,0.09090909090909091,0.0,11.0,0.13,0.031818181818181815
"Adam, Jason",83.11536523929472,0.2594458438287154,0.03526448362720403,14.493702770780857,0.2141057934508816,0.163727959697733,0.012594458438287154,397,0.13173803526448363,0.2790931989924433,79.92696711839675,0.44110854503464203,0.4133949191685912,2572.3333333333335,0.25375375375375375,0.19747235387045814,,,,2584.251612903226,0.42042042042042044,0.292259083728278,2035.1682242990655,0.2057057057057057,0.4597156398104265,,,,2516.0,0.003003003003003003,0.001579778830963665,84.16792452830188,0.009433962264150943,28.92452830188679,0.22641509433962265,,,,,82.31716417910448,0.05223880597014925,10.08955223880597,0.23134328358208955,83.55891472868217,0.03875968992248062,6.271317829457364,0.18604651162790697,,,,,93.05000000000001,0.0,27.5,0.0,0.009389671361502348,84.15539906103285,0.028169014084507043,0.28169014084507044,11.507042253521126,0.24882629107981222,0.19248826291079812,213.0,0.14483568075117373,0.25968309859154926,0.016304347826086956,81.91141304347826,0.043478260869565216,0.23369565217391305,17.95108695652174,0.17391304347826086,0.13043478260869565,184.0,0.11657608695652175,0.3015625
"Adams, Travis",82.25135135135135,0.25675675675675674,0.05855855855855856,18.31981981981982,0.36486486486486486,0.12162162162162163,0.02702702702702703,222,0.16418918918918918,0.36582207207207207,70.61261355925562,0.42715700141442714,0.4101838755304102,2411.6634615384614,0.2049469964664311,0.35377358490566035,2226.5394736842104,0.22614840989399293,0.02830188679245283,2325.014598540146,0.2579505300353357,0.1509433962264151,1933.7209302325582,0.06007067137809187,0.2641509433962264,2468.3703703703704,0.02120141342756184,0.049528301886792456,2512.4186046511627,0.22968197879858657,0.1509433962264151,81.50133333333333,0.02666666666666667,28.84,0.36,84.87241379310345,0.06896551724137931,7.724137931034483,0.20689655172413793,85.12424242424242,0.12121212121212122,13.242424242424242,0.42424242424242425,75.7290322580645,0.0,3.6451612903225805,0.3225806451612903,75.75,0.16666666666666666,14.0,0.6666666666666666,84.88958333333333,0.08333333333333333,21.791666666666668,0.4166666666666667,0.03333333333333333,82.22333333333334,0.06666666666666667,0.2222222222222222,18.8,0.35555555555555557,0.1111111111111111,90.0,0.1572222222222222,0.3555555555555555,0.022727272727272728,82.27045454545456,0.05303030303030303,0.2803030303030303,17.992424242424242,0.3712121212121212,0.12878787878787878,132.0,0.16893939393939394,0.3726325757575758
"Adcock, Ty",80.02121212121212,0.12121212121212122,0.030303030303030304,35.666666666666664,0.2727272727272727,0.030303030303030304,0.030303030303030304,33,0.09696969696969698,0.10909090909090909,78.7125847144936,0.5487804878048781,0.45121951219512196,2172.0882352941176,0.375,0.44,2233.0,,0.02,2199.08,0.40625,0.24,,,,,,,2205.470588235294,0.1875,0.22,81.01538461538462,0.0,36.69230769230769,0.3076923076923077,,,,,84.19999999999999,0.1111111111111111,44.333333333333336,0.2222222222222222,,,,,,,,,81.65555555555555,0.0,33.77777777777778,0.3333333333333333,0.0,78.01538461538462,0.0,0.0,37.76923076923077,0.3076923076923077,0.0,13.0,0.06153846153846154,0.1076923076923077,0.05,81.325,0.05,0.2,34.3,0.25,0.05,20.0,0.12000000000000002,0.10999999999999999
"Agnos, Zach",83.73490566037736,0.27044025157232704,0.06918238993710692,18.80503144654088,0.31446540880503143,0.14779874213836477,0.025157232704402517,318,0.16367924528301886,0.3507861635220126,72.48911066472397,0.40021008403361347,0.3865546218487395,2361.32421875,0.24404761904761904,0.296875,2255.264150943396,0.07142857142857142,0.03794642857142857,2228.7397260273974,0.07738095238095238,0.07589285714285714,,,,2569.75,0.005952380952380952,0.002232142857142857,2322.3678571428572,0.31746031746031744,0.26785714285714285,87.03292682926829,0.07317073170731707,26.865853658536587,0.3170731707317073,83.32962962962964,0.1111111111111111,21.296296296296298,0.5185185185185185,74.58947368421053,0.0,13.473684210526315,0.21052631578947367,,,,,81.4,0.0,-8.0,0.0,83.10347826086957,0.06956521739130435,20.278260869565216,0.30434782608695654,0.029069767441860465,83.37790697674419,0.0755813953488372,0.27906976744186046,15.133720930232558,0.3081395348837209,0.1511627906976744,172.0,0.1671511627906977,0.32492732558139537,0.02054794520547945,84.1554794520548,0.06164383561643835,0.2602739726027397,23.13013698630137,0.3219178082191781,0.14383561643835616,146.0,0.15958904109589042,0.29683219178082193
"Akin, Keegan",81.21787439613526,0.21256038647342995,0.043478260869565216,25.028985507246375,0.3188405797101449,0.12318840579710146,0.028985507246376812,414,0.1421497584541063,0.26322463768115945,71.69142223479821,0.47163420829805247,0.3344623200677392,2367.2661157024795,0.5142450142450142,0.5093945720250522,,,,2573.754601226994,0.17236467236467237,0.4279749478079332,2068.6404958677685,0.301994301994302,0.06263048016701461,,,,,,,83.51682242990654,0.04205607476635514,32.22429906542056,0.3364485981308411,,,,,78.54423076923078,0.057692307692307696,14.932692307692308,0.28846153846153844,78.98958333333333,0.03125,19.927083333333332,0.3125,,,,,,,,,0.028112449799196786,81.51847389558232,0.040160642570281124,0.19678714859437751,27.032128514056225,0.2931726907630522,0.13654618473895583,249.0,0.13473895582329315,0.23187751004016063,0.030303030303030304,80.76424242424243,0.048484848484848485,0.23636363636363636,22.006060606060608,0.3575757575757576,0.10303030303030303,165.0,0.15333333333333332,0.310530303030303
